X.1,X,Y,Class,Ultra_Blue,Blue,Green,Red,NIR,SWNIR_1,SWNIR_2,Cirrus
184,786435.2831,1448774.773,2,10806,10599,12087,16013,18477,23204,16118,5199
200,780527.263,1448744.754,4,9583,8908,8642,7814,11131,8252,7307,5315
217,784193.8515,1428379.795,4,8891,8060,7213,6497,6070,5459,5362,5103
112,781578.7822,1433534.454,2,11745,11361,9912,9807,12512,12909,13385,5198
131,780629.647,1412656.65,3,8753,7970,7497,6633,15292,10483,7439,5089
30,798205.8833,1423294.272,1,9363,8862,8917,9707,14335,16159,12983,5064
36,809751.2816,1428179.232,1,9005,8388,8724,8470,17969,13594,9916,5053
35,812195.3615,1431723.788,1,9021,8386,8200,8550,14286,13273,10303,5055
52,764730.9462,1432982.617,1,9801,9203,9105,9511,15380,15028,11529,5393
213,790239.8845,1431447.195,4,8818,7983,7137,6448,6132,5407,5303,5107
98,778007.0346,1420835.796,2,10546,10126,10584,10672,14911,15027,13761,5123
152,799157.7905,1433593.464,3,9008,8338,8318,7538,18743,11870,8345,5073
103,771263.4215,1440666.753,2,11853,11216,10269,9829,14103,14566,13458,5507
127,763270.031,1413834.726,3,9010,8223,7618,6655,8753,6191,5632,5120
89,789472.4565,1428398.368,2,10844,10916,12283,14428,18501,22037,17854,5077
91,774424.0903,1428462.349,2,10517,10129,10024,9977,13499,13122,11994,5221
62,792425.1865,1449153.852,1,9567,9046,9179,9801,15883,14858,11373,5194
216,784016.317,1428794.042,4,8877,8047,7220,6490,6086,5482,5384,5127
51,786378.9679,1453299.831,1,10133,9552,9895,10699,13309,14110,11387,5487
113,781842.7045,1433403.293,2,10383,9620,8860,8122,13328,11752,10148,5197
159,769421.8091,1453997.936,3,10024,9270,8827,8114,15871,10314,8133,6018
114,780374.3371,1434209.456,2,10821,10415,9114,8969,11430,11053,10014,5187
22,767670.88,1415392.6,1,9648,8994,8802,8748,15684,13757,10338,5396
100,771768.8726,1444425.646,2,10707,10167,9980,10254,12528,12054,10831,5647
196,768809.2079,1444171.854,4,9843,9271,9049,8040,8750,7400,6899,5755
109,776002.0253,1432857.054,2,11277,11352,9018,8516,12518,14425,12187,5170
170,764110.3204,1425244.281,3,9118,8443,8007,7503,15007,11162,8315,5177
40,779046.7283,1447122.451,1,9692,9091,8815,8922,14584,13297,10254,5353
224,795971.0832,1441601.06,4,8737,7936,7217,6390,6035,5294,5222,5084
12,764986.8708,1451311.617,1,9874,9285,9238,10110,15259,15559,12138,5691
145,787304.2188,1433162.577,3,9867,9523,10201,10018,10928,9804,8400,5087
176,811598.6099,1430188.143,3,8797,8073,7643,7315,13911,11073,8130,5042
54,766272.8919,1431997.307,1,9659,9032,8932,9009,14341,13252,10583,5399
53,766656.7788,1433712.002,1,10293,9967,10264,12060,15696,19492,15476,5329
178,759028.0016,1431980.92,1,10642,10215,10772,12676,16784,20066,16291,5507
147,788226.8662,1429137.781,3,8910,8116,7521,6773,12808,10066,7593,5088
27,800278.8725,1421093.32,1,9863,9536,9828,11110,15230,16898,13555,5041
191,757591.3137,1417663.327,4,9130,8321,7433,6751,6550,5943,5691,5258
199,782956.6159,1443671.693,4,9624,9130,9075,8260,6713,5890,5702,5239
220,782773.5762,1424237.325,4,8730,7896,6976,6289,5862,5412,5286,5095
126,763864.4403,1413927.826,3,9120,8382,8065,6991,17384,9580,7098,5183
26,803247.5978,1427081.956,1,9401,8910,9035,9911,14796,17269,13164,5041
55,765172.4162,1429809.152,1,9664,9097,9230,10367,14471,16350,12978,5301
72,791775.7778,1435295.536,2,10478,10126,10058,10463,12436,11828,11052,5104
154,803340.1402,1432829.564,3,8974,8307,8009,7500,14754,11726,8968,5049
219,782694.672,1424395.133,4,8783,7922,6973,6306,5901,5399,5299,5103
92,776445.8946,1426862.82,2,10599,10262,10192,10596,12770,13564,12725,5169
47,804428.05,1442829.316,1,9351,8854,9267,10696,15788,17140,12915,5060
121,790040.2892,1418367.723,2,10599,10098,9201,8983,11443,11266,10770,5051
104,773768.2835,1440932.275,2,11548,11079,10085,9799,14414,15228,13840,5498
204,783264.9754,1447980.216,4,9454,8845,8396,7457,8315,6610,6196,5465
93,780828.6033,1429540.431,2,10277,9789,9397,9533,10692,10946,10364,5155
195,771881.6248,1447672.98,4,10087,9302,8742,8025,8697,7648,7012,5903
8,759650.843,1451554.745,1,10569,10071,10204,11771,15588,17855,14713,5853
96,782588.0849,1425839.122,2,10671,10614,10258,10995,11424,11510,9804,5104
81,795601.8505,1448027.784,2,11301,11066,11522,12539,15408,16751,12842,5109
132,780462.544,1413420.549,3,8786,8011,7379,6656,13560,9730,7066,5079
149,795727.4043,1432514.456,3,9094,8389,8185,7347,17258,11066,7876,5075
181,790560.3404,1443809.426,1,9334,8754,8393,7997,13104,10411,8144,5289
21,776141.9841,1413268.426,1,9304,8654,8776,8874,15454,14791,11278,5051
102,772091.9774,1440007.747,2,11263,10853,10298,10377,13332,13023,11897,5523
175,806096.1463,1442011.875,1,9410,8924,9203,10366,14891,17523,13499,5037
25,769657.4947,1417580.755,1,9605,9009,8801,9223,14650,15354,12156,5291
169,773582.6742,1444427.707,3,9655,8907,8619,8056,15136,11830,9076,5577
24,775396.6037,1412068.779,1,9297,8714,8617,8879,15065,15061,12071,5082
148,788207.7687,1428650.795,3,8903,8120,7615,6883,13177,10258,7683,5073
162,809638.7302,1421825.831,3,9196,8562,8578,8333,16319,13225,9855,5033
150,795701.1453,1433326.099,3,8899,8135,7565,6877,15051,9708,7240,5069
11,767738.0602,1451260.432,1,10589,9996,9586,9776,14775,14769,11541,6022
95,784936.193,1428206.424,2,10194,9788,9492,9666,11341,11071,10084,5134
164,756538.1667,1453145.71,3,10252,9763,10079,9676,8696,7543,6927,5756
155,804791.5492,1432447.615,3,8962,8289,8107,7831,14445,12781,9215,5047
138,779290.4357,1415621.535,3,8777,8001,7374,6733,13153,9874,7462,5102
227,783376.5989,1445573.167,4,9252,8644,8153,7186,7320,5956,5751,5260
140,778256.7842,1415559.468,3,8795,7988,7419,6597,13685,9816,7268,5117
218,785466.1814,1424917.874,4,8761,7946,6994,6332,5810,5386,5294,5090
66,780850.9967,1427406.66,2,10711,10328,10084,10253,11693,11562,10626,5111
49,787153.1398,1455548.768,1,10305,9623,9390,9935,14180,14871,11624,5784
206,785021.2999,1451318.396,4,9168,8382,7503,6918,7075,6377,6082,5305
194,769809.5297,1454889.588,4,9832,9144,8735,8306,8325,7241,6700,5882
119,788359.1845,1450831.758,2,10677,10067,10067,9589,10401,10098,10281,5135
134,780768.1038,1414680.984,3,8751,7970,7452,6652,14080,10110,7345,5071
185,783038.2748,1448183.349,4,9722,9022,8666,7860,11197,8458,7074,5660
173,799727.1343,1448170.815,3,9056,8403,8065,7762,12516,11162,8241,5096
16,763748.8356,1421880.288,1,9524,9015,9078,9933,15080,17643,13386,5135
190,769952.4328,1411304.139,4,9637,9185,9115,9443,14526,14673,12005,5130
76,786260.6028,1439652.652,2,10978,10651,10663,10973,12412,12979,12395,5143
129,778743.7701,1412298.572,3,8740,7922,7240,6465,13065,9186,6919,5096
61,795304.3382,1449486.554,1,9230,8626,8560,9072,14764,14877,11124,5131
34,810122.3722,1430751.275,1,8853,8215,8306,7379,18624,12264,8659,5047
74,793592.8424,1439319.95,2,10305,9846,9838,10059,12415,11656,10431,5078
82,798020.3379,1446159.535,2,10852,10642,11122,11517,14959,13619,11779,5098
201,780170.0052,1432668.154,4,8991,8274,7884,6916,6276,5604,5494,5138
99,795640.2392,1435289.137,2,11532,11540,12018,12798,13919,13721,12937,5058
71,791347.1041,1429812.351,2,10722,10347,9434,9307,10554,10185,9213,5166
14,791667.0099,1413940.228,1,9393,8759,8719,8605,14794,13021,10088,5069
222,790644.2685,1424335.955,4,8619,7792,6827,6213,5740,5257,5190,5039
146,786505.7051,1429553.152,3,8965,8211,7759,6850,17655,9757,7081,5113
144,787428.3525,1430856.555,3,9020,8305,8146,7138,18174,11003,7713,5081
192,764093.4052,1431382.026,4,9601,9050,9062,8355,6908,6247,5900,5301
187,781473.1455,1451177.509,4,9208,8458,7823,7002,6859,6042,5794,5348
39,780275.1663,1442822.918,1,9645,9078,8930,9777,13224,13889,11281,5204
86,788103.2599,1423497.412,2,10426,10095,10820,11773,14555,15273,13859,5081
197,782885.1643,1448673.302,4,9405,8821,8280,7330,8331,6473,6108,5421
37,804831.1312,1436669.531,1,9364,8871,9014,9561,14715,16348,12759,5057
70,790444.9699,1430720.883,2,10503,10056,10180,10494,11197,11137,10532,5099
80,781692.3488,1441776.826,2,10374,9927,9646,9800,11875,11537,10540,5173
59,777856.6789,1436232.859,1,10190,9661,9791,11770,13658,18557,16349,5223
123,782844.0094,1420004.041,2,14055,13755,10867,9613,15810,17077,16482,5081
32,800969.8689,1422846.404,1,9455,8924,9015,9970,15322,15353,12505,5053
214,789638.2401,1431723.359,4,8892,8079,7189,6503,6239,5431,5319,5107
179,792116.7856,1450868.335,3,8955,8221,7830,7056,15861,9082,6983,5213
3,763380.944,1442667.763,1,9703,9071,8636,8876,14421,14322,10478,5460
10,757417.9009,1450217.539,1,12415,11910,12044,13081,17074,16717,13703,7188
50,786660.485,1453888.457,1,9925,9374,9656,10255,16506,16604,12375,5390
124,781158.3061,1452120.178,2,11982,11259,9073,8753,13950,14232,12913,5316
130,779211.6585,1412494.321,3,8714,7905,7287,6499,14354,9643,6981,5092
205,783741.8582,1451399.815,4,9171,8410,7831,7004,6929,6234,5961,5309
88,785876.7159,1428014.481,2,10812,10455,10256,10576,11673,12280,11680,5109
13,771986.4085,1451951.428,1,10684,10107,9874,10306,15761,15723,11997,6084
122,791804.5693,1418027.024,2,9909,9360,8039,7420,12333,10926,9201,5036
48,780319.9531,1455395.214,1,9329,8699,8600,8949,14344,13611,10662,5200
108,773362.0032,1442499.013,2,11105,10590,9166,8707,13457,13680,11971,5436
182,788641.0429,1445461.359,1,10040,9551,9805,11071,12526,13931,10833,5149
105,772850.154,1441328.958,2,10867,10641,9575,9330,13282,13993,12507,5457
9,760578.5697,1451234.839,1,9896,9265,9029,9398,14329,14291,11186,5594
171,761971.4019,1425301.574,1,9799,9301,9332,10121,15010,17154,13668,5319
156,805708.2286,1429544.797,3,9150,8543,8286,8309,13253,12247,9567,5050
161,807805.3714,1424346.699,3,8874,8194,7734,7273,14649,10771,8030,5033
7,759055.8183,1451356.403,1,10590,10049,10293,11354,16052,16502,13754,5814
97,782959.1755,1430855.244,2,10337,10023,9661,10071,10641,11087,10293,5143
117,796440.0036,1439827,2,10569,10505,10508,11190,12366,14653,12141,5089
19,776909.7579,1416953.74,1,9263,8626,8358,8378,14495,14851,10890,5150
141,779190.1739,1415210.939,3,8800,7995,7401,6640,14245,9915,7246,5086
33,794891.6598,1425021.763,1,9185,8600,8649,8989,15319,14942,11291,5066
177,758407.3333,1427567.013,3,9516,8743,8227,7788,14385,10449,8192,5387
225,780421.7391,1443756.655,4,9490,8918,8690,7756,6578,6090,5764,5341
143,789242.6138,1431945.112,3,9033,8313,7929,6918,15980,9070,6734,5075
