X.1,X,Y,Class,Ultra_Blue,Blue,Green,Red,NIR,SWNIR_1,SWNIR_2,Cirrus
82,798020.3379,1446159.535,2,12939,12813,13564,14214,19467,17444,14308,5131
201,780170.0052,1432668.154,4,10372,9491,9138,7848,7409,6057,5719,5117
99,795640.2392,1435289.137,2,13723,13572,14615,15510,18623,16844,15201,5100
71,791347.1041,1429812.351,2,14316,14280,14517,15218,17718,17420,14926,5099
14,791667.0099,1413940.228,1,11267,10695,11181,12491,17475,20848,16115,5110
222,790644.2685,1424335.955,4,10558,9627,8598,7964,7623,6718,6242,5110
146,786505.7051,1429553.152,3,10341,9356,9048,7745,22672,11476,7810,5132
144,787428.3525,1430856.555,3,10167,9307,8878,7714,23722,11323,7846,5082
192,764093.4052,1431382.026,4,11412,10819,11055,10628,9661,8915,7668,5141
187,781473.1455,1451177.509,4,10914,10126,9458,8718,8754,7632,6975,5158
39,780275.1663,1442822.918,1,11313,10777,11665,13605,19895,22609,17695,5160
86,788103.2599,1423497.412,2,12208,11863,12529,14050,17733,19268,16428,5097
197,782885.1643,1448673.302,4,10455,9791,9306,8035,8325,6501,6028,5160
37,804831.1312,1436669.531,1,11075,10513,11350,13445,18873,22602,18029,5128
70,790444.9699,1430720.883,2,12636,12375,12658,13429,15064,15452,14308,5102
80,781692.3488,1441776.826,2,12394,12123,12202,13053,16267,15594,13685,5149
59,777856.6789,1436232.859,1,11117,10420,10536,13220,16048,22693,18901,5108
123,782844.0094,1420004.041,2,16382,16826,12854,11736,21125,23641,21515,5101
32,800969.8689,1422846.404,1,11399,10883,11865,14533,18516,22095,18293,5082
214,789638.2401,1431723.359,4,10687,9843,9429,8150,7786,5800,5491,5110
179,792116.7856,1450868.335,3,10240,9417,9218,8285,19363,11588,8233,5122
3,763380.944,1442667.763,1,10605,9838,9853,12193,15751,22324,17327,5142
10,757417.9009,1450217.539,1,11839,11291,11749,14266,17439,21867,17171,5195
50,786660.485,1453888.457,1,11518,11022,12079,13731,19325,21164,15399,5147
124,781158.3061,1452120.178,2,13205,12450,9757,9388,15523,17295,15953,5131
130,779211.6585,1412494.321,3,10345,9464,8791,8278,13469,13507,10300,5101
205,783741.8582,1451399.815,4,10724,9819,9325,8309,8485,7081,6492,5174
88,785876.7159,1428014.481,2,12946,12818,13197,13986,16152,17201,15942,5109
13,771986.4085,1451951.428,1,11007,10412,10979,13612,18214,23652,18770,5163
122,791804.5693,1418027.024,2,12137,11608,10031,9198,16916,15238,12828,5125
48,780319.9531,1455395.214,1,11195,10578,11228,12663,18669,21217,16853,5196
108,773362.0032,1442499.013,2,13395,12827,10287,9190,19347,16143,14031,5146
182,788641.0429,1445461.359,1,13191,12899,14087,16072,18730,20724,16619,5130
105,772850.154,1441328.958,2,13221,13521,10492,9913,17169,15466,13330,5126
9,760578.5697,1451234.839,1,10984,10338,10770,12426,17173,21266,17044,5202
171,761971.4019,1425301.574,1,11594,11081,11736,13930,19496,26643,21333,5110
156,805708.2286,1429544.797,3,10222,9322,8851,7965,18512,11166,7708,5111
161,807805.3714,1424346.699,3,10319,9498,9427,9065,19333,14833,10234,5120
7,759055.8183,1451356.403,1,11003,10341,10836,13866,17633,22874,17900,5185
97,782959.1755,1430855.244,2,12707,12434,12948,13674,15042,15613,14405,5085
117,796440.0036,1439827,2,13261,13218,14605,16503,19038,19691,15295,5122
19,776909.7579,1416953.74,1,10896,10271,10387,11828,15766,21708,17580,5101
141,779190.1739,1415210.939,3,10300,9445,8853,8439,13969,13952,10383,5090
33,794891.6598,1425021.763,1,11004,10385,11153,13351,18979,22116,17428,5116
177,758407.3333,1427567.013,3,10853,9959,9682,9397,18090,14687,10221,5140
225,780421.7391,1443756.655,4,10971,10267,10094,9042,7835,6780,6338,5177
143,789242.6138,1431945.112,3,10210,9279,9594,7612,32887,13348,8076,5099
