,X,Y,Class,Ultra_Blue,Blue,Green,Red,NIR,SWNIR_1,SWNIR_2,Cirrus
185,783038.2748,1448183.349,4,10755,10020,9434,8520,11367,8414,7103,5069
186,781200.9491,1450973.362,4,10646,9771,9051,8083,7400,5910,5580,5051
188,796307.8494,1441038.193,4,10824,9975,9040,8168,7952,6050,5625,5044
190,769952.4328,1411304.139,4,11324,10760,11062,12246,16923,19406,14923,5064
191,757591.3137,1417663.327,4,10613,9633,8539,7743,7296,5996,5595,5049
193,769452.2719,1454818.136,4,10930,10322,10383,10906,15810,16811,12994,5038
194,769809.5297,1454889.588,4,10584,9788,9363,8800,16154,14817,10356,5048
195,771881.6248,1447672.98,4,10693,9909,9376,8217,8672,5982,5601,5053
196,768809.2079,1444171.854,4,10613,9855,9379,8304,8676,6010,5639,5043
197,782885.1643,1448673.302,4,10705,9985,9429,8289,9141,6050,5656,5048
198,780813.0692,1443671.693,4,10857,10088,9612,8679,7311,5899,5531,5045
199,782956.6159,1443671.693,4,11169,10476,10058,9302,7970,6154,5763,5072
200,780527.263,1448744.754,4,10909,10169,9807,8974,13976,9832,7659,5055
201,780170.0052,1432668.154,4,10721,9862,9411,8283,7526,5963,5616,5058
202,769586.8266,1454478.674,4,10559,9662,8903,8322,8359,6010,5592,5050
204,783264.9754,1447980.216,4,10741,10000,9444,8301,8955,6018,5632,5061
206,785021.2999,1451318.396,4,10632,9741,8882,8063,7733,6229,5808,5054
207,783939.5901,1450620.519,4,10855,10031,9442,8824,9857,7455,6504,5050
210,790149.1935,1431855.776,4,10677,9783,9279,8076,21813,11103,7525,5068
212,795722.7389,1441204.426,4,10810,9979,9029,8145,7929,6062,5660,5045
213,790239.8845,1431447.195,4,10708,9821,9382,8153,23157,11878,7824,5069
214,789638.2401,1431723.359,4,11030,10165,9394,8398,8393,5876,5495,5048
216,784016.317,1428794.042,4,10739,9808,8803,7934,7232,5850,5558,5053
217,784193.8515,1428379.795,4,10706,9769,8710,7886,7217,5850,5539,5058
218,785466.1814,1424917.874,4,10585,9675,8610,7818,7066,5881,5578,5068
219,782694.672,1424395.133,4,10578,9685,9065,8009,19529,9856,7062,5063
221,785604.2637,1424740.339,4,10635,9759,8729,7942,7143,5895,5565,5077
222,790644.2685,1424335.955,4,10572,9648,8599,7861,7377,6010,5633,5053
223,784200.0844,1436660.147,4,10740,9847,8961,8033,7765,5912,5566,5053
224,795971.0832,1441601.06,4,10722,9821,9318,8099,23029,11381,7497,5044
225,780421.7391,1443756.655,4,10871,10075,9497,8545,7347,5892,5536,5058
226,782528.8932,1443635.554,4,10762,9841,9246,8207,20547,10959,7572,5053
227,783376.5989,1445573.167,4,10835,10127,9533,8396,8216,6058,5664,5047
228,763641.094,1447235.854,4,10658,9802,9183,8439,7428,6080,5660,5066
