X,Y,Class,2016-01-_1,2016-01-_2,2016-01-_3,2016-01-_4,2016-01-_5,2016-01-_6,2016-01-_7,2016-01-_8
784245.196603911,1433172.96100146,2,11290.00000,10861.00000,10809.00000,11309.00000,14303.00000,14691.00000,12161.00000,5226.00000
790040.289155153,1418367.72317252,2,11046.00000,10478.00000,9794.00000,9585.00000,11599.00000,11244.00000,10617.00000,5206.00000
791804.56933291,1418027.02355523,2,10523.00000,10009.00000,9069.00000,8520.00000,12900.00000,11053.00000,9049.00000,5183.00000
782844.00944551,1420004.0410527,2,12835.00000,12849.00000,11188.00000,10699.00000,15676.00000,17120.00000,15226.00000,5291.00000
781158.306116105,1452120.17844991,2,11708.00000,11090.00000,9512.00000,9336.00000,13248.00000,13678.00000,12430.00000,5170.00000
782159.811035687,1452471.87482714,2,10766.00000,10224.00000,10230.00000,10668.00000,14752.00000,16194.00000,12832.00000,5216.00000
763864.440290113,1413927.8263578,3,10276.00000,9481.00000,8938.00000,7958.00000,16760.00000,9507.00000,7084.00000,5245.00000
763270.030997051,1413834.72610708,3,10369.00000,9578.00000,8796.00000,7898.00000,10456.00000,6927.00000,6092.00000,5237.00000
778882.2268871,1413506.48804364,3,10034.00000,9233.00000,8483.00000,7812.00000,14176.00000,11106.00000,8039.00000,5276.00000
778743.770103977,1412298.57197019,3,10036.00000,9202.00000,8366.00000,7631.00000,13127.00000,9615.00000,7272.00000,5258.00000
779211.658543496,1412494.3212153,3,9992.00000,9134.00000,8361.00000,7575.00000,14167.00000,10178.00000,7406.00000,5284.00000
780629.646977547,1412656.64985758,3,9943.00000,9129.00000,8438.00000,7678.00000,14623.00000,11026.00000,7870.00000,5252.00000
780462.543963432,1413420.54935067,3,9920.00000,9092.00000,8300.00000,7600.00000,13571.00000,10220.00000,7460.00000,5188.00000
781250.315315683,1412494.3212153,3,9829.00000,9001.00000,8278.00000,7509.00000,14041.00000,10307.00000,7556.00000,5209.00000
780768.103760669,1414680.98351427,3,9899.00000,9067.00000,8332.00000,7632.00000,13649.00000,10495.00000,7720.00000,5223.00000
778018.065585542,1411147.94835872,3,9847.00000,9012.00000,8123.00000,7402.00000,12383.00000,9261.00000,7057.00000,5241.00000
777929.739706653,1412207.85890539,3,10041.00000,9208.00000,8357.00000,7663.00000,13640.00000,10125.00000,7531.00000,5242.00000
